Reported by,Metric Category,Metric,Sub-Group,Unit of Measure,Comments,Date,Value
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2023-01-01,26.161714774153
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2023-01-01,1.860452
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2023-01-01,2.725409
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2023-02-01,1065.6394432534412
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2023-02-01,395.00919899999997
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2023-02-01,525.063394
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2023-02-01,123.76207699999999
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2023-02-01,17.33407225344135
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2023-02-01,1.6973639999999999
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2023-02-01,2.7733369999999997
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2023-03-01,1201.1459049999999
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2023-03-01,452.708559
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2023-03-01,576.253866
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2023-03-01,142.90989
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2023-03-01,24.300245
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2023-03-01,2.057049
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2023-03-01,2.916296
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2023-04-01,1243.2990579561776
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2023-04-01,479.70146
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2023-04-01,591.5190349999999
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2023-04-01,143.333262
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2023-04-01,24.05567195617767
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2023-04-01,1.976786
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2023-04-01,2.712843
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2023-05-01,1397.0417150147457
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2023-05-01,583.094752
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2023-05-01,658.3386399999999
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2023-05-01,125.63602499999999
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2023-05-01,24.79949101474582
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2023-05-01,1.85554
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2023-05-01,3.3172669999999997
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2023-06-01,1490.155227
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2023-06-01,647.391179
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2023-06-01,666.289882
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2023-06-01,145.893927
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2023-06-01,25.154663
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2023-06-01,1.954793
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2023-06-01,3.470783
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2023-07-01,1583.975759
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2023-07-01,716.73766
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2023-07-01,690.032914
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2023-07-01,146.19024
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2023-07-01,25.223217
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2023-07-01,3.546408
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2023-07-01,2.24532
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2023-08-01,1580.85265872996
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2023-08-01,695.796999281
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2023-08-01,691.6816050257465
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2023-08-01,163.154594398
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2023-08-01,24.26291404521338
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2023-08-01,3.359956
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2023-08-01,2.59658998
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2023-09-01,1571.265596
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2023-09-01,679.144072
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2023-09-01,714.80315
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2023-09-01,146.118016
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2023-09-01,26.388765
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2023-09-01,3.42427
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2023-09-01,1.387323
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2023-10-01,1616.781826
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2023-10-01,699.843184
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2023-10-01,735.900043
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2023-10-01,149.437534
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2023-10-01,25.943032
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2023-10-01,3.766138
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2023-10-01,1.891895
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2023-11-01,1389.70524
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2023-11-01,568.975171
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2023-11-01,656.359923
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2023-11-01,133.466754
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2023-11-01,26.014879
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2023-11-01,1.74276
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2023-11-01,3.145753
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2023-12-01,1358.677883
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2023-12-01,536.924193
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2023-12-01,651.619217
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2023-12-01,138.220235
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2023-12-01,26.049075
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2023-12-01,3.40956
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2023-12-01,2.455603
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2024-01-01,1223.3365711558554
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2024-01-01,482.353011036
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2024-01-01,601.91273527797
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2024-01-01,108.45736127590001
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2024-01-01,25.826426425985325
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2024-01-01,1.88666814
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2024-01-01,2.900369
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2024-02-01,1210.9065306658533
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2024-02-01,466.09987167800006
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2024-02-01,582.14728316502
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2024-02-01,132.2883797135
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2024-02-01,25.45203339933333
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2024-02-01,1.86914731
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2024-02-01,3.0498154
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2024-03-01,1433.193393
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2024-03-01,602.879366
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2024-03-01,667.595592
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2024-03-01,131.864065
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2024-03-01,25.861636
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2024-03-01,1.931363
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2024-03-01,3.061371
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2024-04-01,1397.388624
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2024-04-01,595.689791
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2024-04-01,624.814627
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2024-04-01,145.230486
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2024-04-01,26.510594
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2024-04-01,1.912956
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2024-04-01,3.23017
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2024-05-01,1452.814119
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2024-05-01,578.236092
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2024-05-01,740.145681
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2024-05-01,103.157677
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2024-05-01,25.714931
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2024-05-01,2.135312
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2024-05-01,3.424426
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2024-06-01,1539.629251
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2024-06-01,698.57646
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2024-06-01,665.847174
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2024-06-01,143.444348
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2024-06-01,26.66991
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2024-06-01,1.82997
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2024-06-01,3.261389
