Reported by,Metric Category,Metric,Sub-Group,Unit of Measure,Comments,Date,Value
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2020-02-01,1.714636
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2020-02-01,2.848546
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2020-03-01,1356.2916244953767
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2020-03-01,481.088325
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2020-03-01,659.916864
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2020-03-01,184.447536
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2020-03-01,25.577599495376774
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2020-03-01,2.464231
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2020-03-01,2.797069
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2020-04-01,1115.772691954961
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2020-04-01,502.004567
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2020-04-01,446.701364
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2020-04-01,138.226669
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2020-04-01,24.316698954960913
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2020-04-01,1.861417
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2020-04-01,2.661976
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2020-05-01,1302.9459095496036
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2020-05-01,643.0547535
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2020-05-01,469.5573441
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2020-05-01,160.0051964542269
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2020-05-01,24.150522495376773
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2020-05-01,1.979812
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2020-05-01,4.198281
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2020-06-01,1359.9092144953768
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2020-06-01,605.883038
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2020-06-01,553.700612
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2020-06-01,170.294517
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2020-06-01,24.416758495376772
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2020-06-01,2.213771
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2020-06-01,3.400518
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2020-07-01,1558.002399474233
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2020-07-01,694.786005
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2020-07-01,662.723199
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2020-07-01,171.51616597885612
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2020-07-01,24.730204495376775
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2020-07-01,2.583456
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2020-07-01,1.663369
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2020-08-01,1458.7449018322511
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2020-08-01,640.534121
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2020-08-01,611.5655650000001
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2020-08-01,176.6458733368743
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2020-08-01,25.07765149537677
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2020-08-01,1.819633
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2020-08-01,3.102058
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2020-09-01,1479.8739649582799
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2020-09-01,669.572903
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2020-09-01,614.077999
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2020-09-01,166.99889346290323
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2020-09-01,24.253314495376774
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2020-09-01,1.846304
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2020-09-01,3.124551
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2020-10-01,1485.526232155638
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2020-10-01,625.399424
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2020-10-01,673.05474
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2020-10-01,157.24209766026138
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2020-10-01,24.55077749537677
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2020-10-01,2.205585
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2020-10-01,3.073608
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2020-11-01,1369.752332433614
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2020-11-01,570.923763
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2020-11-01,607.804307
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2020-11-01,162.10885493823693
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2020-11-01,24.312924495376773
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2020-11-01,1.687586
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2020-11-01,2.914897
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2020-12-01,1245.53681149664
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2020-12-01,522.023342
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2020-12-01,532.8341129999999
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2020-12-01,161.9422866297136
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2020-12-01,24.126712866926468
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2020-12-01,2.010116
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2020-12-01,2.600241
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2021-01-01,1213.392084686075
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2021-01-01,522.132991
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2021-01-01,530.403575
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2021-01-01,131.7161043323832
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2021-01-01,24.473578353691888
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2021-01-01,1.92959
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2021-01-01,2.736246
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2021-02-01,1093.8104270743872
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2021-02-01,441.523876
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2021-02-01,479.775128
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2021-02-01,147.03420335483872
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2021-02-01,21.139961719548538
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2021-02-01,1.991119
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2021-02-01,2.346139
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2021-03-01,1324.2164992785106
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2021-03-01,511.963209
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2021-03-01,609.915581
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2021-03-01,176.561355
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2021-03-01,20.942369278510608
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2021-03-01,2.275971
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2021-03-01,2.558014
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2021-04-01,1303.7165743861688
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2021-04-01,525.686823
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2021-04-01,612.739034
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2021-04-01,139.00053656206896
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2021-04-01,21.7974898241
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2021-04-01,1.966706
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2021-04-01,2.525985
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2021-05-01,1411.4364962801606
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2021-05-01,596.392269
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2021-05-01,627.378924
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2021-05-01,159.55808944285715
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2021-05-01,23.187648837303446
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2021-05-01,2.096809
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2021-05-01,2.822756
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2021-06-01,1336.3090949999998
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2021-06-01,582.794624
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2021-06-01,600.131536
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2021-06-01,125.96362
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2021-06-01,22.687551
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2021-06-01,2.627693
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2021-06-01,2.104071
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2021-07-01,1489.6444060000003
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2021-07-01,641.580494
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2021-07-01,671.43902
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2021-07-01,149.431839
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2021-07-01,22.331822
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2021-07-01,2.136641
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2021-07-01,2.72459
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2021-08-01,1504.1700232903554
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2021-08-01,661.5717829999999
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2021-08-01,599.4325149999999
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2021-08-01,217.15815113371863
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2021-08-01,20.713483156637096
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2021-08-01,3.2349440000000005
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2021-08-01,2.0591470000000007
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2021-09-01,1544.3524275191585
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2021-09-01,705.455323
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2021-09-01,639.1705267419354
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2021-09-01,170.4591488659529
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2021-09-01,24.03887291127012
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2021-09-01,2.149993
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2021-09-01,3.078563
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2021-10-01,1225.699611850289
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2021-10-01,611.940598
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2021-10-01,479.7243002580645
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2021-10-01,107.22226760321918
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2021-10-01,21.95621998900529
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2021-10-01,1.994537
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2021-10-01,2.8616889999999997
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2021-11-01,1410.063752920198
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2021-11-01,593.2064369999999
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2021-11-01,617.913734
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2021-11-01,171.25575860991577
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2021-11-01,22.48206531028257
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2021-11-01,1.9917129999999998
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2021-11-01,3.214045
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2021-12-01,1412.6050021504761
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2021-12-01,555.077574
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2021-12-01,673.5321611290323
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2021-12-01,157.8397302236493
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2021-12-01,21.046015797794794
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2021-12-01,2.2881139999999998
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2021-12-01,2.8214069999999998
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2022-01-01,1245.2691129999998
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2022-01-01,511.095044
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2022-01-01,542.894557
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2022-01-01,163.051953
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2022-01-01,23.496605
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2022-01-01,2.205343
